词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
週末	⓪	名	しゅうまつ	周末		週末は家でゆっくりします	周末在家休息	6	名词·时间
間	⓪	名	あいだ	（两个事物的）中间；时间段；人与人的关系		ビルの間から山が見える	从高楼之间能看到山	6	名词·时间
アイスクリーム	⑤	名	ice cream	冰激凌		弟はアイスクリームが大好きです	我弟弟最喜欢冰淇淋了	6	名词·饮食
ケーキ	①	名	cake	蛋糕		誕生日にケーキを食べました	生日那天吃了蛋糕	6	名词·饮食
センチ	①	名	(フ) centimètre	厘米	「センチメートル」の略	身長180センチ	身高一百八十厘米	6	名词·饮食
チーズ	①	名	cheese	奶酪，芝士		チーズケーキ	奶酪蛋糕	6	名词·饮食
僕	①⓪	代	ぼく	（男子自称）我		僕は学生です	我是学生	6	基础·代词指示
ありがとう	②	感	ありがとう	谢谢		ありがとうございます	（礼貌说法）谢谢您	6	基础·感叹寒暄
ええと	⓪	感	ええと	（犹豫或思考时）啊，嗯	えっと	ええと、何だっけ	嗯，什么来着？	6	基础·感叹寒暄
〜さん		接尾	〜さん	（表达敬意或亲近感）……先生，……女士		佐藤さん	佐藤先生/女士	6	基础·接尾
ずつ		副助	ずつ	每……		5枚ずつ配る	每人发五张	6	基础·接续助词
だから	①	接	だから	因此，所以		外は雨だ。だから出かけるのはやめた	外面下雨了。所以不出门了	6	基础·接续助词
大きな	①	連体	おおきな	大的，巨大的；重大的，非常的		大きな音	巨响	6	基础·连体词
〜冊		接尾	〜さつ	（用来数笔记本，书本等）……册，……本		ノート3冊	三个本子	6	基础·量词单位
〜杯		接尾	〜はい	……杯；计算船、章鱼、乌贼等的量词		ビール1杯	一杯啤酒	6	基础·量词单位
いつも	①	名・副	いつも	经常，总是；平时		彼女はいつも元気だ	她总是很有精神	7	副词
たくさん	⓪③	名・副	たくさん	许多，相当多	沢山	昨日はたくさん泳ぎました	昨天游了很多泳	7	副词
だんだん	⓪	副	だんだん	渐渐地，慢慢地		だんだん仕事が楽しくなってきました	工作越来越有趣了	7	副词
はく	⓪	他動1	はく	穿（下身衣物）	穿く；「履く」と同語源	ズボンをはく	穿裤子	7	动词·一类
会う	①	自動1	あう	见面；偶遇		また会いましょう	下次见	7	动词·一类
吹く	①②	自他動1	ふく	刮风；吹		今日は北風が吹いている	今天刮着北风	7	动词·一类
差す	①	自他動1	さす	照射；撑，打；注入（液体）	液体は「注す」とも書くが、今は「差す」を使う	日が差す	阳光射进来	7	动词·一类
持つ	①	他動1	もつ	拿；带着；拥有，持有		バッグを手に持つ	手拿挎包	7	动词·一类
歌う	⓪	他動1	うたう	唱歌		私はカラオケで歌うのが大好きです	我很喜欢唱卡拉OK	7	动词·一类
泳ぐ	②	自動1	およぐ	游泳		プールで泳ぐ	在游泳池游泳	7	动词·一类
終わる	⓪	自他動1	おわる	完，结束；……完		仕事が終わる	工作结束	7	动词·一类
習う	②	他動1	ならう	（接受教导并）学习，练习		バイオリンを習う	学习小提琴	7	动词·一类
開く	⓪	自動1	あく	打开；开始营业		ドアが開く	门开了	7	动词·一类
けが	②	名・自動3	けが	伤，受伤	怪我	けがの程度がひどい	伤势严重	7	动词·三类
しっかり	③	副・自動3	しっかり	紧紧地；好好地，牢牢地；坚固，坚强；可靠		靴ひもをしっかりと結ぶ	把鞋带牢牢系好	7	动词·三类
会議	①③	名・自他動3	かいぎ	会议		今日の午後、大事な会議があります	今天下午有重要的会议	7	动词·三类
帰国	⓪	名・自動3	きこく	回国		留学を終えて帰国する	结束留学回国	7	动词·三类
散歩	⓪	名・自動3	さんぽ	散步		犬と毎朝、散歩する	每天早上和狗一起散步	7	动词·三类
留学	⓪	名・自動3	りゅうがく	留学		フランスに留学する	在法国留学	7	动词·三类
練習	⓪	名・他動3	れんしゅう	（学问、运动或技术等）反复练习，训练		バイオリンを練習する	练习拉小提琴	7	动词·三类
付ける	②	他動2	つける	安上；穿上；写上；定价；涂上；附上；打分		シャツにボタンを付ける	把钮扣缝在衬衣上	7	动词·二类
信じる	③	他動2	しんじる	相信，信赖；信仰		自分を信じる	相信自己	7	动词·二类
出る	①	自動2	でる	出去；显出；出发；参加；接电话		今朝は早く家を出ました	今天早上很早就出门了	7	动词·二类
掛ける	②	他動2	かける	挂；带上；打（电话）；花费；坐；上锁		鍵を掛ける	上锁	7	动词·二类
閉める	②	他動2	しめる	关上（窗户、门等打开的东西）		ドアを閉める	关门	7	动词·二类
ニュース	①	名	news	新闻		夜のニュースを見ましたか	你看过晚间新闻了吗？	7	名词·IT通信
駅	①	名	えき	车站		駅はどこですか	车站在哪里？	7	名词·交通出行
駅前	③⓪	名	えきまえ	（电车、地铁的）车站周边		駅前に交番があります	车站前有派出所	7	名词·交通出行
兄弟	①	名	きょうだい	兄弟姐妹	姉妹・兄妹・姉弟	私は3人兄弟で兄と姉がいます	我兄弟姐妹三人，有一个哥哥、一个姐姐	7	名词·人物职业
女性	⓪	名	じょせい	女性，女人		女性パイロット	女飞行员	7	名词·人物职业
小学生	③	名	しょうがくせい	小学生		うちの息子は来年、小学生になります	我家儿子明年要上小学了	7	名词·人物职业
ギター	①	名	guitar	吉他		ギターを弾く	弹吉他	7	名词·兴趣娱乐
教室	⓪	名	きょうしつ	教室；培训班		教室で授業する	在教室上课	7	名词·场所
英語	⓪	名	えいご	英语		英語を話す	说英语	7	名词·学习教育
鉛筆	⓪	名	えんぴつ	铅笔		鉛筆を貸してください	请借我铅笔	7	名词·学习教育
百	②	名	ひゃく	百		私の祖母は百歳です	我的祖母一百岁了	7	名词·数量
財布	⓪	名	さいふ	钱包		財布を落とした	钱包掉了	7	名词·日用品
二十日	⓪	名	はつか	二十号，二十日；二十天		来月の二十日は弟の誕生日です	下个月二十日是我弟弟的生日	7	名词·时间
二日	⓪	名	ふつか	二号，二日；两天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	7	名词·时间
先月	①	名	せんげつ	上个月		先月の電話料金	上个月的电话费	7	名词·时间
六日	⓪	名	むいか	六天；六号		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	7	名词·时间
明日	③⓪	名	あした	明天		明日は晴れるだろう	明天是晴天吧	7	名词·时间
春	①	名	はる	春天，春季		春になると花が咲く	一到春天，花就开了	7	名词·时间
春休み	③	名	はるやすみ	春假		春休みには海外旅行を予定している	春假预定到国外旅行	7	名词·时间
毎朝	①⓪	副・名	まいあさ	每天早上		毎朝何時に起きますか	每天早上你几点起床？	7	名词·时间
スカート	②	名	skirt	裙子		スカートをはく	穿裙子	7	名词·衣物外貌
お茶	⓪	名	おちゃ	茶；工作间隙中的短暂休息		お茶を入れましょうか	我来泡茶吧	7	名词·饮食
コップ	⓪	名	(オ) kop	（由玻璃、塑料等制成的圆柱形的）杯子		紙コップ	纸杯	7	名词·饮食
コーヒー	③	名	coffee	咖啡		私は毎朝コーヒーを飲みます	我每天早上都喝咖啡	7	名词·饮食
チョコレート	③	名	chocolate	巧克力		ミルクチョコレート	牛奶巧克力	7	名词·饮食
飴[あめ]	⓪	名	あめ	糖果		のど飴	喉糖	7	名词·饮食
皆	②⓪	名・代・副	みな	大家；全部		クラスのことは皆で決めよう	班上的事情大家一起决定吧	7	基础·代词指示
誰	①	代	だれ	谁		これは誰の鉛筆ですか	这是谁的铅笔？	7	基础·代词指示
えっ	①	感	えっ	（惊讶或觉得奇怪时）哎，啊		えっ、そうなの	啊！是吗？	7	基础·感叹寒暄
へえ	⓪	感	へえ	（惊讶）哦，嘿		へえ、そりゃ大変だ	欸！那可不得了	7	基础·感叹寒暄
〜ちゃん		接尾	〜ちゃん	小……	人名や人を表す語に付いて、親しみの気持ちを表す	姉ちゃん	姐姐	7	基础·接尾
そして	⓪	接	そして	于是，然后		兄はアメリカにいます。そして弟はカナダにいます	哥哥在美国，弟弟在加拿大	7	基础·接续助词
こういう	⓪	連体	こういう	这种，这样		こういうこと	这种事	7	基础·连体词
〜達		接尾	〜たち	（人的复数）……们		子ども達	孩子们	7	基础·量词单位
すぐ	①	副	すぐ	立刻，马上；很近	直ぐ	すぐ行きます	马上过去	8	副词
ただ今	②④	名・副・感	ただいま	刚刚；现在；立刻；（ただいま）我回来了	只今	ただ今家に着いた	刚刚到家	8	副词
どう	①	副	どう	怎么样		あなたはどう思いますか	你有什么想法？	8	副词
くださる	③	他動1・補動	くださる	给予，赐予	下さる；「与える」 「くれる」の尊敬語	先生が手紙を下さいました	老师寄信给我	8	动词·一类
使う	⓪	他動1	つかう	使用；花费		このパソコンを使ってください	请用这台电脑	8	动词·一类
始まる	⓪	自動1	はじまる	开始		授業は9時に始まる	九点钟开始上课	8	动词·一类
座る	⓪	自動1	すわる	坐；居某地位		公園のベンチに座る	坐在公园的长椅上	8	动词·一类
思う	②	他動1	おもう	思考；认为		私もそう思う	我也这样想	8	动词·一类
死ぬ	⓪	自動1	しぬ	死亡		交通事故で死ぬ	因交通事故死去	8	动词·一类
消す	⓪	他動1	けす	关掉（电源）；熄灭；抹去		テレビを消す	关上电视	8	动词·一类
脱ぐ	①	他動1	ぬぐ	摘掉，脱掉		服を脱ぐ	脱掉衣服	8	动词·一类
貸す	⓪	他動1	かす	借出；提供		私は彼に本を貸しています	我把书借给他	8	动词·一类
送る	⓪	他動1	おくる	邮寄，发送；派遣；送别；度过		本を郵便で送ってください	请把书邮来	8	动词·一类
する	⓪	自他動3	する	做		友達と一緒に宿題をした	和朋友一起写作业	8	动词·三类
作文	⓪	名・自動3	さくぶん	作文		日本語で作文を書きました	用日文写了作文	8	动词·三类
手洗い	②	他動3・名	てあらい	洗手间；用手洗		手洗いに行く	去洗手间；上厕所	8	动词·三类
料理	①	名・他動3	りょうり	菜肴；做菜		中華料理	中国菜	8	动词·三类
旅行	⓪	名・自動3	りょこう	旅游		北海道へ旅行する	去北海道旅游	8	动词·三类
運動	⓪	名・自動3	うんどう	运动		ジョギングはいい運動になる	慢跑是很好的运动	8	动词·三类
電話	⓪	名・自他動3	でんわ	电话		電話をかける	打电话	8	动词·三类
伝える	⓪③	他動2	つたえる	通知，传达；传授		みんなにこのことを伝えてください	请把这件事告诉大家	8	动词·二类
寝る	⓪	自動2	ねる	睡觉；躺着		子どもが寝ている	孩子在睡觉	8	动词·二类
晴れる	②	自動2	はれる	天气放晴；心情愉快		あすは晴れるでしょう	明天会放晴吧	8	动词·二类
